"Protein","rGAL_detected","UL_detected","MAR_values_imputed","MNAR_values_imputed"
"HRNR",3,3,0,0
"ANKHD1",2,2,2,0
"LSM14A",2,0,1,3
"ABCF1",3,3,0,0
"DDX55",1,3,0,2
"THOC2",3,3,0,0
"PIP4K2C",3,3,0,0
"STT3B",3,3,0,0
"UBASH3B",1,2,1,2
"POF1B",1,2,1,2
"BBX",2,2,2,0
"H1-10",3,3,0,0
"AP3S1",3,3,0,0
"DHX38",3,3,0,0
"DDX17",3,3,0,0
"SMARCC1",3,3,0,0
"ARHGEF2",2,2,2,0
"RPL36AL",3,3,0,0
"CCDC47",3,2,1,0
"LRRC59",3,3,0,0
"CUSTOS",3,3,0,0
"CCDC124",3,1,0,2
"AP2M1",2,3,1,0
"THOC1",3,3,0,0
"LTV1",3,3,0,0
"SMARCD1",0,2,1,3
"DDX27",3,3,0,0
"PGAM5",3,3,0,0
"DIRAS2",3,3,0,0
"THOC3",1,2,1,2
"SERPINB12",3,3,0,0
"RBM14",3,3,0,0
"FAM111A",1,3,0,2
"GSDMA",2,3,1,0
"SRPK1",2,2,2,0
"CDC5L",3,3,0,0
"WDR77",2,3,1,0
"LLPH",1,2,1,2
"MMTAG2",3,2,1,0
"GNL3",2,1,1,2
"POLDIP3",3,2,1,0
"NIFK",3,3,0,0
"DDX24",3,3,0,0
"POLR1E",3,3,0,0
"NAT10",3,3,0,0
"MAGT1",2,0,1,3
"MRPL46",0,2,1,3
"CCDC86",3,2,1,0
"NRDE2",3,3,0,0
"MED20",1,2,1,2
"POLR1B",2,3,1,0
"MCCC2",3,3,0,0
"S100A14",1,2,1,2
"EXOSC4",3,3,0,0
"EXOSC3",3,3,0,0
"SDAD1",2,1,1,2
"NHP2",3,3,0,0
"GAR1",3,0,0,3
"CALML5",3,3,0,0
"RCC2",1,3,0,2
"PCDH10",2,1,1,2
"RRBP1",3,3,0,0
"LARS1",2,1,1,2
"SRP68",3,2,1,0
"DDX20",2,3,1,0
"EIF2B4",2,0,1,3
"RAB21",2,3,1,0
"INO80",2,3,1,0
"PRPF19",3,3,0,0
"RPL26L1",3,3,0,0
"AGTPBP1",3,3,0,0
"RUVBL2",3,3,0,0
"EIF3L",2,2,2,0
"RUVBL1",3,3,0,0
"FARSA",3,2,1,0
"ASF1A",2,1,1,2
"DRG1",2,0,1,3
"DDX52",3,3,0,0
"NOP58",3,2,1,0
"NOP16",2,2,2,0
"MED31",1,2,1,2
"FAM32A",2,1,1,2
"HCFC2",2,2,2,0
