"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"HSPA5",15.9281034667547,16.1639026875396,16.0815785133575,15.9347585896533,15.7621633234347,15.9844432259809
"HSPA8",18.2338651102524,18.3128890692871,18.1060462706968,18.2000015255947,18.3092477615787,18.0011855051446
"PC",17.0541394113989,16.9223018147424,17.1865532117867,17.3606449624346,17.1858008411508,17.2660854974045
"PABPC1",15.3868343490765,15.4576621630737,15.0600665571748,15.3484203455329,15.0185380752504,15.2740386984835
"SLC25A6",16.1916537100804,16.1022851558956,15.9049161060026,16.4907015804066,16.3850332597265,16.3703234352177
"TPR",13.7726903556963,14.0664940505017,14.0759965850907,13.8110923689237,13.9937599179174,13.6907182657972
"PIP",11.024971734638,14.2278087511139,12.9153390943597,15.1052256196953,15.5845504907049,15.5420451901075
"XRCC6",14.6594672680999,14.8012297553747,14.2579471616542,11.3872025108412,13.4385706932902,14.3609634413449
"EEF2",16.1271026349545,15.7125098855301,16.2723606759694,16.2300003522538,15.6270625890566,16.082037574216
"ETFA",14.408444188442,15.578001413813,14.7988525239314,13.2778088442104,14.1663148464329,13.1739517530847
"DARS1",16.7522067024531,16.6736582772544,16.569021902629,16.5673641865035,16.7107124962161,16.4704513891224
"JUP",15.376243573617,15.0150728508892,15.1320592628661,15.3604134905408,16.1160088368983,16.0876509561537
"ANPEP",17.7949870736547,17.7731643248522,17.8133785078924,17.5592417693282,17.4278855325082,17.5169837359625
"DSP",16.1158466493875,16.2822446768752,16.0418417867744,16.263141168713,16.5347361791851,16.77111182684
"H1-5",19.6568247766649,19.566499941705,19.7520016279642,19.1826057914375,18.8154257023784,19.3122851642663
"H1-3",19.7385342244805,19.7470312832337,19.6497673549145,19.2468421735612,18.5821497750613,19.1974616305519
"H1-2",17.5362402329301,18.1725891425373,16.9695583033547,18.6011583659921,17.9190806078785,18.1266997345565
"UBTF",16.1517237555719,15.8964911124499,15.6530094790217,15.8358142108298,16.0629477512013,15.8841423710139
"DDX5",15.9485332533419,15.9967038566624,15.5785926407684,15.6092462763017,15.5982065636213,15.7029387513127
"TCP1",14.3740945260906,13.9255944008601,13.5641830794231,13.9807888228495,13.0756180015637,13.2052866949167
"RPL7",15.6348416730905,15.5336862247341,15.6590377436345,15.6055474611015,15.4162873953905,15.3487944652332
"SON",16.4921137159351,16.239262129681,16.268483610759,15.5798469201794,16.0612621163795,16.0161053074158
"RPL17",15.8935201324692,15.7345619248043,16.1660300604076,15.5982407653973,15.2639625750293,15.5134962972135
"POLR2E",15.1713900032775,15.3597989668407,15.0591731137121,15.2719221864884,15.0591724798379,15.028893279475
