"Protein","rPAL_detected","Sial_rPAL_detected"
"NDUFB10",2,3
"CLPTM1",3,3
"TOMM40",3,3
"PEX11B",3,3
"ACTL6A",3,3
"NSD2",3,3
"LDHA",3,3
"GLUD1",3,3
"DHFR",3,3
"CYB5R3",3,3
"GSR",3,3
"MT-CO2",3,3
"SOD1",3,3
"PNP",3,3
"HPRT1",3,3
"GOT2",3,3
"PGK1",3,3
"ADA",3,3
"SERPINC1",2,1
"A2M",3,3
"CSTA",3,3
"JCHAIN",2,2
"IGKC",3,3
"IGHG1",1,3
"IGHA1",3,3
"HLA-B",3,3
"HLA-H",3,3
"HBD",2,3
"COL1A1",2,3
"LMNA",3,3
"ALB",3,3
"AFP",2,2
"TFRC",3,3
"LTF",3,3
"FTL",1,3
"VTN",3,3
"CAT",3,3
"RAF1",3,3
"ALDOA",3,3
"CSTB",3,3
"ANXA1",3,3
"OAT",3,3
"TUBB4A",3,1
"GAPDH",3,3
"HLA-A",3,3
"CAPNS1",3,3
"HSPB1",3,3
"TYMS",3,3
"RPN1",3,3
"RPN2",3,3
"GNAI2",3,3
"ATP1A1",3,3
"ARG1",3,3
"ITGB2",3,3
"S100A8",3,3
"HMGN1",3,3
"SLC25A5",3,3
"ISG15",3,3
"PCCA",3,3
"PCCB",3,3
"EIF2S1",3,3
"HMGN2",3,3
"RPLP1",3,3
"RPLP2",3,3
"RPLP0",3,3
"POLR3D",3,3
"SSB",3,3
"ITGB1",2,3
"UROD",2,2
"GSN",3,3
"RB1",3,3
"PTMA",3,3
"CDK1",3,3
"ATP5F1B",3,3
"S100A9",3,3
"EIF4E",3,3
"ENO1",3,3
"PYGL",3,2
"GPI",3,3
"POLB",3,3
"NPM1",3,3
"TPM3",3,3
"LDHB",3,3
"GPX1",3,3
"P4HB",3,3
"CTSD",3,3
"ANXA2",3,3
"CAPN1",3,3
"TUBB",3,3
"PRSS1",3,3
"HEXB",2,1
"PFN1",3,3
"APRT",3,3
"EPRS1",3,3
"HSP90AA1",3,3
"HNRNPC",3,3
"YES1",3,3
"LYN",3,3
"FH",3,3
"ERCC1",2,2
"SP1",3,3
"ZFY",3,2
"ANXA6",2,3
"ABCB1",3,3
"SLC3A2",3,3
"HSP90AB1",3,3
"SRPRA",3,3
"ITGA2B",3,3
"PDHA1",3,3
"PLEK",3,3
"CYC1",3,3
"PTPRC",3,3
"SNRPB2",3,3
"SNRNP70",3,3
"RPS17",3,3
"GNAI3",3,2
"ANXA5",2,0
"RPSA",3,3
"MRPL3",3,3
"SNRPA",3,3
"SRP19",3,3
"GSTP1",3,3
"SNRPC",3,3
"LGALS1",3,3
"QDPR",1,2
"HMGB1",3,3
"GSTM1",3,3
"TPM1",3,3
"CLTA",3,3
"ANXA4",2,3
"CNP",3,3
"DLD",3,3
"HNRNPA1",3,3
"SNRPA1",3,3
"FGR",3,3
"PARP1",3,3
"POLA1",3,3
"IFIT1",3,2
"LTA4H",2,3
"ALDOC",3,3
"H2AZ1",3,3
"H2AC11",3,3
"TFPT",3,3
"FBXO45",3,2
"POLR2M",3,3
"POTEI",3,3
"SP9",3,3
"HSPA1A",3,3
"CALM1",3,3
"ERCC6",3,2
"POLR1D",3,3
"GATD3",2,1
"GLI2",3,3
"ZBTB48",3,3
"GLI4",3,3
"RO60",3,3
"HLA-C",2,2
"ARAF",2,3
"H1-4",3,3
"DLAT",3,3
"TXN",3,3
"MGST1",3,3
"PRKAR1A",3,3
"TFPI",3,3
"ESD",1,2
"HSPD1",3,3
"CLU",2,3
"HSPA5",3,3
"HSPA8",3,3
"SLC2A1",3,3
"EPB41",2,3
"UMPS",3,3
"PDHB",3,3
"DBT",3,3
"PYGB",3,3
"RALA",3,3
"RALB",3,3
"BCR",3,3
"LAMP1",3,1
"ERG",3,3
"ACADM",3,3
"FGFR1",2,1
"TOP1",3,3
"TOP2A",3,3
"G6PD",3,3
"PC",3,3
"MTHFD1",3,3
"ADH5",1,2
"PRPS2",3,3
"PABPC1",3,3
"PCNA",3,3
"SLC25A4",2,1
"SLC25A6",3,3
"IMPDH2",3,3
"TPR",3,3
"PIP",3,3
"BCKDHA",3,3
"SKI",3,3
"ACTN1",3,3
"MYL4",1,2
"PEPD",3,3
"XRCC6",3,3
"XRCC5",3,3
"COX4I1",3,2
"IFITM1",2,3
"LAMP2",3,3
"RNH1",2,3
"NCAM1",2,1
"EEF2",3,3
"PDIA4",3,3
"P4HA1",3,3
"TPT1",3,3
"LCP1",3,3
"APEH",3,3
"ETFA",3,3
"GYS1",3,1
"PRKAR2A",3,3
"MTHFD2",3,3
"MIF",3,3
"PRKCSH",3,3
"HCLS1",3,3
"FDPS",3,3
"TRIM27",3,3
"COX7A2",3,3
"AKR1A1",3,3
"PKM",3,3
"HSP90B1",3,3
"CCNB1",3,3
"MYL6B",3,3
"SNRPB",3,3
"IDE",2,2
"HNRNPL",3,3
"DARS1",3,3
"JUP",3,3
"CPA3",2,3
"GLUL",3,3
"ANPEP",3,3
"RAC2",3,3
"GSPT1",3,3
"EZR",3,3
"ATF2",2,3
"UCHL3",3,2
"FOSL2",3,3
"VAV1",3,3
"NME1",3,2
"RPS2",3,3
"TCF4",2,1
"DSP",3,3
"RPA2",3,3
"CD44",3,3
"H2AX",3,3
"SPN",3,3
"CREB1",3,3
"NCK1",3,3
"H1-5",3,3
"H1-3",3,3
"H1-2",3,3
"ATP2A2",3,3
"FAH",3,1
"STMN1",3,3
"YBX3",3,3
"ZNF16",3,3
"ZNF22",3,3
"ZNF24",2,0
"HMGA1",3,3
"ZNF8",3,0
"GOT1",3,3
"UBTF",3,3
"JUND",3,3
"NDUFB7",2,3
"PTPN2",3,3
"CTPS1",3,3
"DDX5",3,3
"PFKL",3,3
"FLT1",3,3
"PSMC3",3,3
"TCP1",3,3
"PTPN1",3,3
"ERCC2",3,3
"RPL35A",3,3
"ARF4",3,3
"RPL7",3,3
"VCL",3,3
"SON",3,3
"NELFE",3,3
"RPL17",3,3
"PGAM1",3,3
"RCC1",3,3
"ATF1",3,3
"ATF6",2,2
"LIG1",3,3
"XRCC1",3,3
"PLCG1",3,3
"NCL",3,3
"HK1",3,2
"POLR2C",3,3
"POLR2E",3,3
"NDUFV2",3,3
"ERCC3",3,3
"EIF2AK2",3,3
"WT1",3,3
"SRM",3,3
"CSNK2A2",3,3
"ITIH2",3,3
"NFKB1",3,3
"EIF2S2",3,3
"ANXA7",3,3
"TBP",3,3
"BTF3",3,3
"CHRM3",3,3
"RAB6A",3,2
"MSH3",3,3
"PSMB1",3,3
"LMNB1",3,3
"ITGAL",3,3
"FLG",3,3
"CDK11B",3,3
"ATP6V1B2",3,3
"FLNA",3,3
"ACO1",3,3
"TNFAIP3",3,1
"TAF1",3,3
"VDAC1",3,3
"SDHB",3,2
"COMT",3,3
"OSBP",3,3
"PCMT1",3,3
"FUT4",3,3
"FBL",3,3
"RPS4Y1",3,3
"GART",3,3
"PAICS",3,3
"SCP2",3,3
"UBA1",3,3
"NME2",3,3
"HNRNPA2B1",3,3
"CBL",3,3
"UQCRC2",3,3
"TGM1",3,3
"FECH",3,3
"XPA",3,3
"TCEA1",3,3
"SFPQ",3,3
"TUBG1",3,3
"PPIB",3,3
"ME2",2,2
"WARS1",3,3
"RPS3",3,3
"GCSH",2,3
"RPS6KB1",3,2
"JAK1",3,2
"SP100",3,3
"AHCY",3,3
"CFL1",3,3
"EIF4B",3,3
"ATP2B4",3,3
"GATA2",3,3
"RRM1",3,3
"IL4R",3,3
"EEF1B2",3,3
"ACAT1",3,3
"POLR2A",3,3
"APC",3,1
"GRK2",3,3
"MCM3",3,3
"AZGP1",3,3
"RPS12",3,3
"BRD2",3,3
"YY1",3,3
"DNAJB1",3,3
"ATP5F1A",3,3
"PSMA1",3,3
"PSMA2",3,3
"PSMA3",3,3
"PSMA4",3,3
"MSN",3,3
"DDX6",3,3
"DNMT1",3,3
"U2AF2",3,3
"RPL13",3,3
"IVD",2,2
"MGAT1",3,2
"HMGB2",3,3
"PTBP1",3,3
"TARS1",3,3
"VARS1",3,3
"EEF1G",3,3
"FKBP2",3,2
"STOM",3,3
"AK4",3,3
"YWHAQ",3,3
"MAPK3",3,3
"MARK3",3,3
"CALML3",2,1
"RPL10",3,3
"RPA1",3,3
"APEX1",3,3
"CAD",3,3
"CALR",3,3
"MAP4",3,3
"CANX",3,3
"PIK3R1",3,3
"PSMB8",3,3
"PSMA5",3,3
"PSMB4",3,3
"PSMB6",3,3
"PSMB5",3,3
"ABCD3",3,3
"ITPRID2",3,3
"NDUFS1",3,3
"POLD1",3,3
"MAPK1",3,3
"ERCC5",3,3
"LAP3",3,3
"CD34",3,2
"GTF2E1",3,3
"GTF2E2",3,3
"TPP2",3,3
"IMPA1",3,1
"SHC1",3,3
"MPG",3,3
"KDM5A",3,3
"TKT",3,3
"CASP1",3,1
"SERPINB3",3,3
"RBMS1",3,3
"PML",3,3
"TYK2",3,3
"EEF1D",3,3
"MARCKS",3,3
"ERP29",3,3
"PRDX6",3,3
"PRDX5",3,3
"ATP5F1D",2,3
"RPL12",3,3
"ECHS1",1,2
"CMPK1",3,3
"PEBP1",3,3
"PDIA3",3,3
"PPP2R1A",3,3
"PPP2R1B",3,3
"CDC27",3,3
"NKTR",3,3
"NMT1",3,3
"HMOX2",3,3
"ADSS2",3,2
"ADSL",3,3
"SRI",2,2
"GNA15",3,3
"SERPINB1",3,3
"GCH1",3,3
"ALDH1B1",3,3
"POLR2B",3,3
"LCN1",2,0
"SDHA",3,3
"CORO1A",3,3
"S100A7",3,3
"MAT2A",3,3
"HOXA10",3,3
"HOXA9",2,3
"RRM2",3,3
"DNAJA1",3,3
"UQCRC1",3,3
"ATIC",3,3
"HNRNPH3",3,3
"HNRNPH1",3,3
"CASP14",3,3
"YWHAB",3,3
"STIP1",3,3
"S100A11",3,3
"PRDX2",3,3
"ARRB2",3,3
"GRK4",3,3
"PYCR1",2,3
"ELF1",3,3
"GTF2H1",3,3
"ICAM3",3,1
"RPL9",3,3
"KIF5B",3,3
"CSTF2",3,3
"LSP1",3,3
"DUT",3,3
"TTK",2,3
"MCM4",3,3
"MCM5",3,3
"MCM7",3,3
"SHMT2",3,3
"HSPA1L",3,3
"HSPA4",3,3
"PRSS3",2,2
"CTNNB1",3,3
"BMI1",3,3
"PHB1",3,3
"PTPN7",3,3
"SERPINB6",3,3
"NF2",3,3
"RDX",3,3
"RPA3",3,3
"RFC4",3,3
"RFC2",3,3
"RFC1",3,3
"RPL22",3,3
"GTF2F1",3,3
"AGL",3,3
"MYH9",3,3
"MYH10",3,3
"COPB2",3,3
"ADD1",3,1
"BSG",3,3
"FUS",3,3
"DEK",3,3
"MYH11",3,3
"PSMC2",3,3
"TCF7",3,3
"ARL2",0,2
"MAP2K2",3,3
"ATP5F1C",3,3
"ATP6V1E1",2,1
"RPL4",3,3
"LONP1",3,3
"PGM1",3,3
"PPP1CC",3,3
"GNL1",2,3
"POLR2I",3,3
"DLST",3,3
"GPX4",3,3
"SRP14",3,3
"FDFT1",3,3
"TAGLN2",3,3
"TALDO1",3,3
"ETFB",3,3
"RBMX",3,3
"COIL",3,3
"GGCX",2,1
"ATP6V1A",3,3
"HSPA9",3,3
"EIF4A3",3,3
"IGHMBP2",3,3
"RPS19",3,3
"RPL3",3,3
"DDOST",3,3
"ANP32A",2,3
"FEN1",3,3
"CUX1",3,1
"TXLNA",3,3
"CCT6A",3,3
"RPL13A",3,3
"MLH1",3,3
"STAT3",3,3
"USP8",3,1
"MDH1",3,3
"MDH2",3,3
"RFC5",3,3
"RFC3",3,3
"HADHA",3,3
"EIF2S3",3,3
"CETN2",3,3
"ETV6",3,3
"EIF2D",3,3
"BUD31",3,3
"NAA10",3,3
"CSK",3,3
"GARS1",3,3
"IARS1",3,3
"EIF1",3,3
"PRKCI",3,3
"ECI1",2,2
"TMPO",3,3
"TMPO.1",3,3
"STAT1",3,3
"STAT5A",3,2
"MTREX",3,3
"ARHGAP25",3,3
"PIK3CB",2,2
"MTOR",2,2
"PI4KA",3,3
"EPS15",3,3
"MLLT3",3,3
"CASP3",3,1
"RPS27",3,3
"TEC",3,3
"HELZ",3,3
"NCAPD3",3,2
"RBM34",3,3
"LRPPRC",3,3
"ACAA2",3,2
"RPL35",3,3
"MATR3",3,3
"MSH2",3,3
"GRK6",3,3
"SSR1",3,3
"ZAP70",3,3
"SYK",3,3
"RANBP1",3,3
"NAMPT",3,3
"PSMC4",3,3
"VDAC2",3,3
"ACADSB",2,3
"CBX5",3,3
"USP5",3,3
"MKI67",3,3
"RANGAP1",3,3
"RECQL",3,3
"NOP2",3,3
"ATRX",3,3
"CRKL",3,3
"MTIF2",3,2
"BAG6",2,2
"NSF",3,3
"BRCC3",3,3
"RPL27A",3,3
"RPL5",3,3
"RPL21",3,3
"RPL28",3,3
"RPS9",3,3
"RPS5",3,3
"RPS10",3,3
"NEDD4",3,3
"UTRN",3,3
"IQGAP1",3,3
"GYG1",3,3
"STT3A",3,3
"CAPZA2",3,3
"CAPZB",3,3
"QARS1",3,3
"RPL29",3,3
"LGALS7",3,3
"ZFP36L2",3,3
"UQCRFS1",3,3
"ATP5PO",3,3
"PREP",2,2
"RFX5",1,3
"PIP4K2A",3,3
"ARCN1",3,3
"PSMD8",3,3
"SERPINB4",3,3
"PRRC2A",3,3
"CCT5",3,3
"PTDSS1",3,3
"CSNK1A1",3,3
"CSNK1D",3,3
"IDH2",3,3
"TNNI2",2,2
"ADGRE5",3,2
"POLD2",3,3
"PXN",2,1
"ALDH9A1",3,3
"RPL34",3,3
"RPIA",3,3
"LMAN1",2,3
"NASP",3,3
"FASN",3,3
"CDK8",3,3
"CCT3",3,3
"MRPL19",3,2
"ARRB1",3,3
"TUFM",3,3
"CENPF",3,3
"SRP9",3,3
"PCYT1A",3,3
"AARS1",3,3
"CARS1",3,3
"SARS1",3,3
"PPM1F",3,3
"PRIM2",3,3
"CSNK1E",3,3
"CTCF",3,3
"PSMB3",3,3
"PSMB2",3,3
"MCM2",3,3
"YLPM1",3,3
"TMED10",3,3
"RBM25",3,3
"NUMB",3,3
"CLK1",3,3
"CLK2",3,3
"CLK3",3,3
"EIF2B2",3,3
"NUP153",3,3
"RANBP2",3,3
"RGS19",2,1
"NDUFV1",3,3
"GSK3B",3,3
"TAF6",3,3
"NT5C2",3,3
"SEPHS1",3,3
"GMPS",3,3
"LIG3",3,3
"MRE11",3,3
"GNAQ",3,3
"IDH3A",3,3
"GDI2",3,3
"EMD",3,3
"CPT1A",3,3
"SERPINH1",2,3
"ST13",3,3
"PEX5",2,2
"VASP",3,3
"DNM2",3,3
"METAP2",3,3
"CDK9",3,3
"PPT1",3,3
"RPL14",3,3
"CCT8",3,3
"CCT4",3,3
"ANXA11",3,3
"PAPOLA",2,2
"FXR1",3,3
"FXR2",3,3
"RAB5C",3,3
"RAB7A",3,3
"RAB27A",3,3
"DAP3",3,3
"DUSP3",3,3
"SMARCA2",3,3
"SMARCA4",3,3
"GALK1",3,2
"SSR4",3,3
"BCAP31",3,3
"MECP2",3,3
"HCFC1",3,3
"ALDH3A2",2,3
"ALDH5A1",3,3
"HSD17B4",3,3
"PSMD7",3,3
"USP11",1,2
"RPS6KA3",3,3
"AFF1",3,3
"HDGF",3,3
"CCNH",2,1
"MNAT1",3,3
"NEK4",3,3
"NDUFA8",3,3
"HNRNPA3",3,3
"PGD",3,3
"HNRNPM",3,3
"KPNA2",3,3
"KPNA1",3,3
"NCBP2",3,3
"RAP1GDS1",3,0
"JAK3",3,3
"DGKE",3,3
"POLR2H",3,3
"POLR2J",3,3
"ARHGDIA",3,3
"ARHGDIB",3,3
"HNRNPF",3,3
"MSH6",3,3
"KIF11",3,3
"ZNF143",1,2
"RBM5",3,3
"SMS",3,3
"HK2",3,3
"THOP1",3,3
"CAPZA1",3,3
"HMGA2",2,2
"NUP98",3,1
"SLC25A1",3,3
"PPP5C",3,3
"PLK1",3,3
"ACLY",3,3
"METAP1",1,2
"SUCLG1",3,3
"MVD",2,1
"COPB1",3,3
"COPA",3,3
"CTSC",3,2
"AP3M2",3,2
"AP2S1",3,3
"POLR2K",1,3
"TTC3",3,3
"SMTN",3,3
"SLC16A1",3,3
"SEC24C",3,2
"SUB1",3,3
"CLNS1A",3,3
"BLM",3,3
"RARS1",3,3
"HIRA",3,3
"TERF1",3,3
"CACNA2D1",2,2
"YARS1",3,3
"USP14",2,2
"HSPA2",3,3
"BCAT1",2,2
"ATP1B3",3,3
"RAD23B",3,3
"AK2",3,3
"ALDH18A1",3,3
"NAPA",3,2
"EIF5",3,3
"PSMD4",3,3
"CSE1L",3,3
"VCP",3,3
"MFAP1",3,3
"HADHB",3,3
"NCKAP1L",3,3
"MLLT10",3,3
"MLLT6",3,3
"ELL",3,3
"BRPF1",3,3
"NAP1L1",3,3
"ADK",3,3
"ADAR",3,3
"SEC13",3,3
"SNU13",3,3
"NPEPPS",3,3
"HNRNPH2",3,3
"OXCT1",3,3
"SUMO3",3,3
"EIF3B",3,3
"BID",1,2
"ATP5MF",3,3
"RRP1",3,3
"MARS1",3,3
"CTSW",3,3
"MAZ",3,3
"AP1S2",2,2
"EIF6",3,3
"CTBP2",3,3
"NDUFA6",3,3
"PRDM15",3,1
"WDR4",3,3
"TMEM33",2,3
"GEMIN4",3,3
"CORO7",3,3
"NUP107",2,3
"GSDMD",0,2
"EEFSEC",3,3
"EPPK1",2,3
"MTPN",2,3
"GNG2",2,1
"AP3S2",3,3
"ARPC4",3,3
"TPI1",3,3
"EIF3E",3,3
"SEC61B",3,3
"MYL6",3,3
"ACTB",3,3
"EIF4A1",3,3
"RPS20",3,3
"PRPS1",3,3
"PSMA6",3,3
"CDC42",3,3
"DSTN",3,3
"RAB8A",3,3
"SRP54",3,2
