"Protein","rPAL_detected","Sial_rPAL_detected"
"BCL7C",3,3
"NSMCE1",3,3
"TRIM41",2,1
"MITD1",3,3
"CHTF18",3,3
"LEO1",3,3
"RNF138",3,3
"UQCC5",1,2
"SNRNP27",3,3
"TFB1M",3,3
"SCFD1",3,2
"TNFAIP8L1",3,3
"DYNC2I1",3,3
"POF1B",2,3
"FAR1",3,3
"PCNP",2,3
"LMO7",3,3
"CKAP2",3,3
"ATXN2L",3,3
"GAB3",3,3
"PRPF31",3,3
"NELFB",3,3
"SREK1",3,3
"GEMIN6",3,3
"ATRIP",0,2
"STON2",3,3
"PSPC1",3,3
"MADD",2,0
"GATAD2B",3,3
"DNAJC9",3,3
"BRI3BP",3,3
"BBX",3,3
"THAP4",3,3
"ING5",3,3
"SSH1",2,1
"DGCR8",3,3
"TTN",3,3
"KLHL6",2,3
"CLEC2B",2,3
"DDX1",3,3
"H1-10",3,3
"CCT6B",3,2
"RTF1",3,3
"TOPBP1",3,3
"MRPS27",3,3
"ELMO1",3,3
"WASF1",3,3
"BAP1",3,3
"AP3S1",3,3
"TSC1",3,3
"UBXN4",3,3
"PHF3",3,3
"HSPH1",3,3
"CNOT9",3,3
"DOCK2",3,3
"TBC1D5",3,3
"ZNF592",3,3
"MYO18A",3,3
"LARP4B",3,3
"GCN1",3,3
"ARHGAP45",3,3
"DHX38",3,3
"GTF3A",3,3
"MRPS31",3,3
"ANP32B",3,3
"PRCC",3,2
"TFG",3,3
"USP6NL",3,3
"ARPC1A",3,3
"GTF2H4",3,3
"RREB1",3,3
"HDAC2",3,3
"DPF2",3,3
"CREBBP",3,1
"KAT6A",3,3
"SYMPK",3,3
"TAF15",3,3
"GGH",3,3
"KAT2B",3,3
"JARID2",3,3
"INPP5D",3,3
"DDX17",3,3
"RAD50",2,2
"ARHGEF1",3,3
"ERCC4",3,3
"UFD1",2,2
"GLG1",3,0
"UPF1",3,3
"GPKOW",3,3
"MAP4K1",2,1
"SMARCC1",3,3
"SMARCD2",3,3
"RAB8B",2,2
"KHSRP",3,3
"GCDH",3,3
"TNPO1",2,3
"ARHGEF2",3,3
"EMG1",3,3
"USP13",2,1
"DVL3",2,2
"USP9X",2,2
"USP7",3,3
"CD101",3,1
"CUL5",3,3
"RBPMS",3,3
"SECISBP2L",2,2
"MED12",3,3
"H2AC6",3,3
"GTF3C6",3,0
"SMARCE1",3,3
"RNF34",1,3
"RPL36AL",3,3
"L3MBTL2",3,3
"NEIL2",3,3
"ZNF622",3,3
"NCLN",3,3
"ERGIC1",3,3
"UTP4",3,3
"CCDC47",3,3
"EXOC4",3,3
"MAGOHB",3,2
"FUBP1",3,3
"LRRC59",3,3
"NABP1",2,1
"VPS33A",3,3
"EME1",3,3
"ARK2N",2,2
"EXOSC8",3,3
"SH3KBP1",3,3
"PINX1",3,3
"TADA1",3,3
"CHCHD1",3,3
"PPWD1",3,3
"TESC",3,2
"ALKBH8",3,3
"TAMM41",3,3
"DOCK10",3,3
"EFHD2",3,3
"SYTL4",3,3
"PYCR2",3,3
"CUSTOS",3,3
"DCPS",3,3
"PPP1R14B",2,3
"INTS12",3,3
"NSUN4",2,3
"ZNF653",2,2
"RPUSD4",3,3
"EVI5L",1,3
"FAF2",3,3
"CCDC124",3,3
"FOXRED1",3,3
"AP2M1",3,3
"TUBGCP3",3,3
"NMD3",3,3
"REPS1",3,3
"ZG16B",3,2
"DNAJC19",3,3
"ESS2",3,3
"MSI2",3,3
"SNRNP40",3,3
"TBC1D31",3,3
"MTFMT",3,3
"ZBTB10",3,2
"RMI2",2,3
"THAP11",3,3
"GNPNAT1",2,0
"MRPS24",2,2
"CHFR",3,3
"DAZAP1",3,3
"SGF29",3,3
"RRP36",3,1
"RBM33",3,3
"DTNBP1",3,1
"DYNC2I2",3,3
"DNAJA3",3,3
"TMA16",3,3
"PTCD3",3,3
"ADAT3",3,3
"MCRS1",3,3
"CYFIP2",3,3
"CCDC97",3,3
"EDC3",3,3
"CDCA5",3,3
"DYNLL2",3,3
"GALNT14",1,2
"CPNE2",3,3
"SIPA1",3,1
"THOC1",3,3
"OTUB1",3,3
"TRMT61A",3,3
"CHMP6",3,3
"PGM2",2,2
"IMP4",3,3
"CERS2",2,3
"MED8",3,3
"DUS3L",3,3
"LTV1",3,3
"MRPL48",3,3
"SMARCD1",3,3
"TOE1",3,3
"DDX27",3,3
"ERO1A",3,3
"PRR11",3,3
"SENP5",2,1
"CDKN2AIPNL",3,3
"MED30",3,3
"NAF1",3,3
"PGAM5",3,3
"DIRAS2",3,3
"INTS4",3,2
"DDRGK1",3,3
"FUBP3",3,3
"RBM17",3,3
"NARS2",3,3
"REXO5",3,3
"LRCH3",3,3
"ZBED3",3,2
"ABHD14B",3,3
"ATP5MK",3,3
"RSRC1",3,3
"THOC3",3,3
"ITCH",3,3
"ABCC11",3,3
"VPS39",3,3
"VCPIP1",3,2
"SPG11",3,3
"TMX3",3,2
"DCAF5",2,0
"ZNF462",3,3
"CHAMP1",3,3
"L3MBTL3",3,3
"ZFP91",3,3
"PDLIM2",2,2
"FAR2",2,2
"BTF3L4",3,3
"SLC35E1",3,3
"ZNF668",3,3
"USP47",3,2
"CLPTM1L",2,2
"DNAJC1",3,3
"SCYL1",3,3
"ZNF512B",3,3
"EXOC2",3,3
"CNDP2",3,3
"EHMT2",3,3
"ZFR",3,3
"B3GALT6",3,3
"NSD1",3,3
"EP400",3,3
"CNOT6L",2,3
"RNPC3",3,3
"DRC1",0,2
"ZNF512",3,3
"NSMCE2",3,3
"NSMCE3",3,3
"TCEANC2",2,3
"YTHDC1",3,3
"TIGD1",3,3
"DNAAF10",3,3
"NOL4L",3,3
"ZNF714",3,3
"TTC14",3,3
"MBOAT7",2,0
"DOCK7",3,3
"SPATA13",3,3
"TSNARE1",1,2
"ANKRD27",3,3
"MUS81",3,3
"NSUN5",3,3
"AGAP3",3,3
"ARAP1",3,3
"SERPINB12",3,3
"IPO9",3,3
"INPP4A",1,2
"RBM14",3,3
"GBP5",1,2
"UHRF2",3,3
"NEDD4L",2,3
"QKI",3,3
"LENG8",3,3
"FAM193B",2,2
"PUS7",3,3
"FAM111A",3,3
"TMEM237",3,3
"ALKBH3",1,3
"KIF20B",3,3
"GSDMA",3,3
"PPP1R10",3,3
"FYTTD1",3,3
"ATAD5",3,3
"TEFM",3,3
"PRAM1",3,3
"VPS35",3,3
"PURB",3,3
"TRPM7",3,3
"PHF12",3,3
"SPAG5",3,3
"SNX18",3,3
"UIMC1",3,3
"MED15",3,3
"GFM1",3,3
"MCCC1",3,3
"TGS1",3,3
"NUDCD1",3,3
"ERBIN",3,3
"CTAGE1",3,3
"FNBP1",3,3
"METTL26",2,2
"TP53RK",3,3
"PIGS",2,2
"WRNIP1",3,3
"RANBP9",3,3
"CCNL2",3,3
"PLEKHF1",3,3
"PPP1R9B",3,3
"SRPK1",3,3
"SMC6",3,3
"STRBP",3,3
"GPX7",3,3
"FIZ1",3,3
"CDK5RAP2",3,3
"IWS1",3,2
"SIN3A",3,3
"OSBPL9",2,0
"CRBN",2,2
"CDK5RAP1",3,3
"SECISBP2",3,3
"RSF1",3,3
"RBM15",3,3
"PPP1R16B",1,2
"RUFY1",3,3
"SPEN",3,3
"PNKP",3,3
"MMS19",3,3
"UHRF1",3,3
"YME1L1",3,3
"TBCB",3,3
"SEC62",3,3
"PHOX2B",3,3
"CDC5L",3,3
"PSMD1",3,3
"SDF2",3,3
"PFDN5",3,3
"AGAP2",3,3
"RNF2",3,3
"PARK7",3,3
"H4C7",3,3
"DNAJC2",3,3
"MPHOSPH6",3,3
"MPHOSPH8",3,3
"MTERF1",1,2
"PKP4",3,3
"PIK3R4",2,2
"POP1",3,3
"SCAF11",3,3
"TSNAX",3,3
"EIF3C",3,3
"DNAJC7",3,3
"PHB2",3,3
"COPS8",3,3
"PRPF18",3,3
"CHP1",3,2
"KIF2C",3,3
"ATXN2",3,3
"HSD17B10",3,3
"HNRNPAB",3,3
"NAP1L4",3,3
"MGST2",3,3
"PIP5K1A",3,3
"ACO2",3,3
"TSG101",3,3
"CPNE1",3,3
"CCT7",3,3
"EBNA1BP2",3,3
"PRMT1",3,3
"H2BC13",3,3
"BAG1",3,3
"SH3GL1",3,3
"VRK1",3,3
"AKAP9",3,3
"NCAPG",3,3
"ARPC5L",3,3
"MICU1",3,3
"PAIP2",3,3
"MAPKAP1",3,3
"RBM4B",3,3
"DDX50",3,3
"MRPL34",3,3
"ELAC2",3,2
"TRIR",3,3
"GRWD1",3,3
"MACROD1",3,3
"TCF25",3,3
"CMSS1",3,3
"WDR77",3,3
"MRPL57",3,3
"TUBA1C",3,3
"APOL2",3,0
"MYBBP1A",3,3
"BUD13",3,3
"CPPED1",2,1
"MRPL45",1,2
"CHLSN",3,3
"NUDT16L1",3,3
"SRSF8",3,3
"PDCD2L",3,3
"PYM1",3,3
"GPATCH1",3,3
"RIOK1",3,3
"LLPH",3,3
"UTP23",3,3
"WDR83",3,3
"TRIM56",3,3
"ERP44",3,3
"NOL10",3,3
"NTPCR",3,3
"AGMAT",2,3
"TIMM29",3,2
"TUBGCP2",3,2
"MTNAP1",3,3
"ESYT1",3,3
"CCM2",3,2
"TSEN34",3,3
"CNPY3",3,3
"HAUS8",3,3
"COPS4",2,3
"SYT11",3,3
"DIDO1",3,3
"MTA3",3,3
"RBM42",3,3
"MCMBP",2,2
"AARSD1",1,3
"ANP32E",3,3
"MED10",3,3
"TMEM43",3,3
"CABLES2",3,3
"HGH1",3,3
"NDUFAF3",3,3
"MMTAG2",3,3
"DOHH",1,2
"ADAT1",3,1
"MED18",3,3
"PAXX",2,1
"POLR3C",3,3
"HNRNPUL1",3,3
"PHF23",2,3
"PDCD10",3,2
"DDX23",3,3
"WRAP53",3,3
"WDR18",3,3
"ADI1",3,3
"CEP250",1,2
"NTMT1",3,2
"SNRNP25",3,3
"KATNB1",2,2
"DSCC1",3,3
"TMEM109",2,3
"NOC4L",3,3
"UTP14A",3,3
"TMED9",3,3
"DPCD",3,3
"GNL3",3,3
"AFG2B",3,3
"RIOK2",3,3
"KIFC1",3,3
"ELOVL1",3,2
"HIRIP3",3,3
"TARS2",3,3
"ACAT2",2,0
"REPIN1",3,3
"RBM4",3,3
"SCNM1",1,2
"SF3B5",3,3
"SFXN3",3,3
"PAPOLG",3,3
"SLC4A1AP",3,3
"GTPBP2",1,3
"LSM14B",3,3
"TBC1D10A",3,3
"NAA15",3,3
"KLF16",3,3
"SRRT",3,3
"QTRT1",2,1
"AP1M1",3,3
"NUSAP1",3,3
"HDHD5",3,3
"MAK16",3,3
"SCAPER",3,3
"RTF2",2,2
"EIF2A",3,3
"POLDIP3",3,3
"SHANK3",3,3
"GNB1L",2,0
"MRPL20",2,3
"MRPL13",3,3
"MRPL9",3,3
"MRPL4",3,3
"MRPL1",3,3
"PCGF6",3,3
"NIFK",3,3
"YTHDF1",3,3
"MRPS26",3,3
"SETD2",3,3
"NSD3",3,3
"MRPL37",2,2
"PUS3",3,3
"GTPBP4",3,3
"OSBPL8",3,3
"OSBPL7",3,3
"RAB34",0,2
"WDR11",3,3
"UPF3B",3,3
"CRNKL1",3,3
"TBL1XR1",3,3
"UBL5",3,3
"PPP1R12C",3,3
"PRKD2",3,3
"NIBAN1",2,2
"UCK2",3,3
"API5",3,3
"DPY30",3,3
"INO80B",3,3
"SETD5",2,1
"UNK",3,3
"ZDHHC5",3,3
"TNKS1BP1",3,3
"LNPK",3,2
"ZNF407",1,2
"WDR33",3,3
"WDR12",3,3
"NDEL1",3,3
"PITHD1",3,2
"REXO4",3,3
"DDX24",3,3
"POLR1E",3,3
"SKIC8",3,3
"SLIRP",3,3
"NIF3L1",2,1
"PSME3IP1",3,2
"LAT2",3,3
"UBA5",3,1
"MKRN2",3,3
"TMEM126A",3,3
"PAIP1",3,3
"CLPB",3,3
"LSG1",3,3
"NAT10",3,3
"KLC2",2,1
"ILKAP",3,3
"XRN2",3,3
"TOLLIP",3,3
"SAP130",3,3
"NSRP1",3,3
"RACGAP1",3,3
"PARP12",3,3
"PUS7L",3,3
"CSTF2T",3,3
"NT5C3A",3,3
"DDX47",3,3
"MAGT1",3,3
"RAB1B",3,3
"TSPYL1",3,3
"BKGD",3,3
"DNTTIP1",3,3
"ING2",3,3
"ANAPC1",3,3
"POLR3F",3,2
"NUCKS1",2,2
"ASCC2",3,3
"UPF3A",3,3
"DNAJC25",2,3
"MED28",3,3
"EHD4",3,3
"VPS16",3,3
"SH3BGRL3",3,3
"SLK",3,3
"TSPYL2",2,3
"PPIL3",3,3
"TAOK3",3,3
"ADNP",3,3
"DHX36",3,3
"SPNS1",2,3
"MRPL46",3,3
"ZNF106",3,2
"PNN",3,3
"CRISPLD1",3,3
"PABPC3",3,2
"GGNBP2",3,1
"KCTD10",3,0
"MTRFR",3,3
"TMX1",3,3
"NELFA",3,3
"ACBD3",3,3
"UNC45A",3,3
"CHMP4B",3,3
"WNK1",3,3
"DEF6",3,3
"FAM83D",3,3
"MTG2",0,2
"SENP3",3,3
"OSBPL3",3,3
"EHD1",3,3
"RNF41",3,3
"ESF1",3,3
"ZNF644",3,3
"TAF1D",3,3
"RABEP2",3,3
"ZCCHC4",3,1
"STEEP1",3,3
"DHX35",3,3
"DENND2D",2,2
"TUT1",3,3
"CCDC86",3,3
"REEP4",3,3
"TASP1",3,3
"DHX33",3,3
"NOL6",3,3
"YTHDC2",3,3
"RPAP3",3,3
"RANBP3",2,3
"RPF2",3,3
"SMYD3",3,3
"WDR26",3,3
"TDRD3",3,3
"C8orf33",3,3
"METTL17",3,3
"SCAF1",3,3
"NRDE2",3,3
"KAT8",3,3
"PHAX",3,2
"METTL8",3,3
"GEMIN7",0,2
"YY1AP1",3,3
"KAT14",1,2
"CAAP1",3,3
"NOL11",3,3
"DDX31",3,3
"BRD9",3,3
"ECT2",3,3
"FAM204A",2,1
"PLEKHF2",3,3
"ANKZF1",3,3
"SLC25A22",3,3
"MED20",3,3
"WDR76",3,3
"ACTR8",3,3
"CNOT10",3,3
"LRRC40",3,3
"EHMT1",3,3
"SFXN1",3,3
"ACTR5",3,3
"AGO3",3,3
"VPS37B",3,3
"MRPL44",3,3
"USP42",3,3
"ISG20L2",3,3
"KANSL2",3,3
"RPF1",3,3
"POLR1B",3,3
"FN3KRP",3,3
"MEAF6",3,3
"NMNAT1",3,2
"PLEKHA5",3,3
"UPF2",3,3
"GNB4",3,3
"CLSPN",3,3
"PLEKHA2",3,3
"SP110",3,3
"CACYBP",3,3
"RC3H2",3,3
"PATZ1",3,3
"IL21",2,1
"RHOF",3,3
"PARVG",2,3
"TAF9B",3,3
"TMEM165",2,1
"APOBEC3G",3,3
"SLC25A19",3,3
"EML4",3,1
"MRM3",3,3
"GLOD4",2,2
"GPBP1L1",0,2
"CBX8",3,3
"CPAP",3,3
"NEK6",3,1
"MCCC2",3,3
"NCOA5",3,3
"MOV10",3,3
"CWC22",3,3
"MSL2",3,3
"TNRC6C",3,3
"RAVER2",3,3
"CHD8",3,3
"EPB41L5",3,3
"GPN1",3,3
"SDF2L1",3,3
"XAB2",3,3
"PREB",3,3
"BRMS1",3,1
"S100A14",2,3
"MRPL47",3,3
"WDR6",3,3
"SINHCAF",3,2
"ZCCHC17",3,3
"HMG20A",3,3
"RAB18",3,3
"VTA1",2,1
"SARS2",3,3
"DYNLRB1",3,3
"ENY2",3,3
"MYNN",3,1
"EXOSC4",3,3
"NOP10",3,3
"OSGEP",3,3
"DMAP1",3,3
"UBN1",3,3
"TMEM138",2,3
"BRD7",3,3
"DCP1A",3,1
"MED4",3,3
"TIMMDC1",3,3
"RIC8A",2,0
"LUC7L",3,3
"MRPL40",3,3
"PPAN",3,3
"TCF7L2",3,1
"RTN4",3,3
"RPRD1B",3,3
"INCENP",3,3
"EXOSC5",3,3
"EXOSC3",3,3
"KIF13B",3,3
"PRDM10",3,3
"ANLN",3,3
"GPHN",3,3
"UTP3",3,3
"ZC4H2",3,3
"DIABLO",2,2
"DDX21",3,3
"NANS",2,1
"EIF2B3",3,3
"MBNL1",3,3
"FBXO6",0,2
"POLE3",3,3
"AAAS",1,2
"ABCB10",3,3
"BAZ1A",3,3
"LATS2",3,3
"AASDHPPT",3,3
"DROSHA",3,3
"APOBEC3C",3,3
"PNO1",3,3
"PHPT1",3,3
"HELLS",3,3
"TOMM22",3,3
"LANCL2",3,3
"KIF15",3,3
"RAD18",2,1
"ZNF275",2,2
"FARSB",3,3
"IARS2",3,1
"SLX9",3,3
"SAMSN1",3,1
"BMP2K",3,3
"PDS5B",3,3
"SMC4",3,3
"SACM1L",3,3
"OLA1",3,3
"ECHDC1",3,3
"RBM12",3,3
"TBC1D22B",3,2
"MDN1",3,2
"ZCCHC3",3,3
"PDRG1",3,3
"STAU2",3,3
"SHFL",3,3
"DDX28",3,3
"LMBRD1",2,0
"AGPAT5",3,3
"TXLNG",3,3
"ABCF3",3,3
"CYRIB",3,3
"DDX19A",3,3
"TDP1",3,3
"DCAF13",3,3
"IMP3",3,3
"MRGBP",3,3
"EXOC1",3,3
"SEPTIN11",3,3
"MED17",3,3
"USP40",3,3
"PANK4",2,2
"FBXO28",3,3
"EXD2",3,3
"DNAJC11",3,3
"ATAD3A",3,3
"FGFR1OP2",3,3
"INTS13",3,3
"GNL3L",3,3
"DDX18",3,3
"ASF1B",3,3
"POLR3E",3,3
"SDAD1",3,3
"MTPAP",3,3
"NLE1",3,1
"NECAP2",3,3
"POLR3B",3,3
"RBM28",3,3
"RBM22",3,3
"GPATCH2",3,3
"WDR70",3,3
"MED9",3,3
"ARGLU1",3,3
"SLTM",3,3
"ZNHIT6",3,3
"GPATCH2L",3,3
"PAG1",3,3
"PIH1D1",3,3
"PAK1IP1",3,3
"AURKAIP1",3,3
"GID8",3,3
"BABAM1",3,3
"CLN6",3,2
"IRAK4",3,1
"GEMIN8",3,3
"TMEM160",3,3
"MRPL16",3,3
"NHP2",3,3
"OCIAD1",3,3
"HYPK",3,3
"LYAR",3,3
"CHCHD3",3,3
"MED29",3,3
"DUS2",3,3
"CMTM6",3,3
"GFOD1",2,0
"SMPD4",3,1
"CWC25",3,3
"TEX10",3,3
"THUMPD1",3,3
"TOR4A",3,3
"TRMT1",3,3
"BABAM2",3,3
"QPCTL",3,3
"CDKN2AIP",3,3
"DNAJB12",3,3
"NSMCE4A",3,3
"GAR1",3,3
"STAB1",3,3
"PPP4R2",3,1
"DPP3",3,3
"CLDND1",0,3
"AATF",3,3
"DDX56",3,3
"TERF2IP",3,3
"ABI2",2,0
"BCLAF1",3,3
"UTP6",2,2
"TAB2",3,3
"MRPL39",1,3
"MAP3K20",3,0
"FKBP11",3,3
"TMOD3",3,3
"ELOVL5",3,3
"NKIRAS2",2,0
"UGGT1",3,3
"CDK12",3,3
"C9orf78",3,3
"FAM120A",3,3
"SMARCAL1",3,3
"GLTP",2,3
"UBP1",0,2
"SACS",3,2
"MTCH1",3,1
"ITSN2",3,3
"BICRA",3,3
"NOP53",3,3
"CNOT2",3,3
"TMOD2",3,3
"CALML5",3,3
"OGFR",3,3
"PALS2",2,2
"CWC15",3,3
"MRPL15",3,3
"THYN1",3,3
"CCDC59",3,3
"NDUFAF4",3,3
"HACD3",3,3
"MED11",3,3
"CCDC167",3,2
"NDUFA13",3,3
"KCMF1",2,3
"RAI14",3,3
"VAPA",3,3
"AKAP7",3,3
"ZNF581",1,2
"TOMM7",2,2
"CXXC1",3,3
"ABRACL",3,3
"PHRF1",3,3
"CEP72",2,1
"CCDC88C",2,3
"ZFAT",3,3
"STIM2",3,3
"RCC2",3,3
"DIP2B",3,3
"SLAIN2",2,3
"USP36",3,3
"BAHCC1",3,3
"BCCIP",3,3
"IBTK",3,3
"CHD7",3,3
"CHPF2",3,3
"PCDH10",3,3
"RRBP1",3,3
"CPSF2",3,3
"LARS1",3,3
"RCOR3",3,2
"MYEF2",3,3
"EIF2AK4",3,3
"RBM27",3,3
"KANSL3",3,3
"FRMD4A",3,2
"SUCLA2",3,3
"WRAP73",2,3
"ATXN10",3,3
"MBD2",3,3
"NCDN",1,2
"TFIP11",3,3
"NFKBIL1",3,3
"EPS15L1",3,3
"DNMT3B",3,3
"SAE1",3,3
"COPG2",3,3
"UXT",3,3
"ASH2L",3,3
"DHCR7",3,3
"METTL1",3,3
"GULP1",3,3
"EIF3K",3,3
"GRHPR",3,2
"RPS6KB2",3,3
"DNAJB11",3,3
"UBA2",3,3
"MORF4L1",3,3
"NXF1",3,3
"ZMYM2",3,3
"SLC25A10",3,3
"CLIP2",3,3
"TJP2",3,3
"DAXX",3,3
"FTSJ1",3,3
"VTI1B",3,3
"LRWD1",3,2
"CGGBP1",3,3
"ABCF2",3,3
"DMBT1",1,3
"PARP2",3,3
"LIMD1",3,1
"SEC63",3,3
"ZC3H7B",3,3
"HMGXB4",3,3
"NOL12",3,3
"SRRD",3,3
"ARMCX3",2,0
"SWAP70",3,3
"SUN2",3,3
"RSL24D1",3,3
"LIMA1",3,3
"AFF4",3,3
"SRP68",3,3
"CHORDC1",3,3
"TBK1",3,2
"TRPS1",3,3
"DDX20",3,3
"NUFIP1",3,3
"DPP7",2,1
"CYB5R1",2,3
"SAP30BP",3,3
"MED13",3,3
"PFDN2",3,3
"GPN3",2,2
"PUF60",3,3
"EVL",3,3
"EIF2B4",3,3
"ATP6V1H",3,3
"TRMT112",3,3
"CPA4",3,3
"MRM2",2,1
"XPO7",3,0
"VPS51",2,2
"BAZ2B",3,3
"BAZ2A",3,2
"BAZ1B",3,3
"HERC5",3,3
"CNOT7",3,3
"NAGK",3,3
"MCM8",3,3
"TRMT6",3,3
"SLC25A13",3,3
"TUBE1",2,2
"LEF1",3,3
"DBNL",3,3
"DDX41",3,3
"CDC23",3,3
"ANAPC7",3,3
"ANAPC5",1,2
"STOML2",3,3
"VPS28",3,2
"ING1",2,2
"CCNL1",3,3
"DBR1",3,3
"TASOR",3,3
"MRTO4",3,3
"TNIK",3,3
"CPSF3",3,3
"APPL1",2,3
"TLK1",3,2
"GPATCH8",3,3
"NUDT5",3,3
"RCOR1",3,3
"RALY",3,3
"GTF3C4",3,3
"FBXO5",3,0
"ACIN1",3,3
"AGO2",3,3
"NUP50",3,3
"ZHX1",3,3
"CDV3",2,3
"CNOT11",3,3
"INTS6",3,3
"BAG5",3,3
"AGO1",3,3
"RAB21",3,3
"TRAPPC2L",2,3
"ZNF346",3,3
"PSME2",3,3
"TAOK2",3,3
"MKLN1",2,1
"MCTS1",3,3
"INO80",3,3
"CCPG1",3,3
"ZBTB21",3,3
"MED23",3,3
"PRR12",3,3
"PLEKHH1",3,3
"YEATS2",3,3
"TBC1D24",2,1
"ISY1",3,3
"HECTD1",3,3
"ZMYND8",3,3
"CIZ1",3,3
"CORO1C",3,3
"TPX2",3,3
"ABT1",3,3
"NOB1",3,3
"AKAP8L",3,3
"TMCO1",3,3
"FZR1",3,3
"PRPF19",3,3
"UBQLN1",2,3
"NOL7",3,3
"VPS4A",3,3
"SOX13",3,3
"G3BP2",3,3
"STUB1",3,3
"SNX6",3,3
"SSR3",3,3
"PSMD13",3,2
"FAF1",3,3
"PPIE",3,3
"DIMT1",3,3
"COPS3",3,3
"RPL26L1",3,3
"WDR3",3,3
"TTF2",3,3
"NSFL1C",3,3
"C19orf53",3,3
"MACF1",3,3
"CEP131",3,3
"SCAF8",3,3
"PPP6R1",3,3
"PHF8",3,3
"AGAP1",3,3
"TNRC6B",3,3
"PLCL2",2,2
"ANKRD26",2,0
"EXOC7",3,3
"ZC3H4",3,3
"FOXJ3",3,2
"AGTPBP1",3,3
"DICER1",3,3
"SHOC2",3,3
"DNM3",3,2
"SRRM2",3,3
"PA2G4",3,3
"SPG7",1,2
"SMC3",3,3
"ZNF148",3,3
"MTMR6",3,3
"NIP7",3,3
"RTRAF",3,3
"TRAF3IP3",3,3
"RUVBL2",3,3
"CDYL",3,3
"HIGD1A",3,3
"HPSE",3,1
"EIF3L",3,3
"PLAA",3,3
"RUVBL1",3,3
"NUDC",3,3
"VDAC3",3,3
"FARSA",3,3
"ASF1A",3,3
"DRG1",3,3
"NCKAP1",3,3
"CNPY2",2,2
"EXOG",3,3
"ICE1",3,3
"WDR37",3,3
"SIK3",3,3
"DIS3",3,3
"LRCH1",3,3
"RCL1",3,3
"MRPS28",3,3
"PTPN22",3,2
"DDX52",3,3
"MRPS17",3,3
"MRPS7",3,3
"POLDIP2",0,3
"AP3M1",3,3
"LEMD3",3,3
"CARHSP1",3,3
"THRAP3",3,3
"WBP11",3,3
"MED16",3,3
"NOP58",3,3
"GIT1",3,3
"ZNF281",3,3
"KLF13",3,3
"SUGT1",3,3
"MTO1",3,3
"YARS2",3,1
"ACOT9",3,3
"AAR2",3,2
"NOSIP",3,3
"DERA",3,1
"TMX2",3,3
"FCF1",3,3
"LSM2",3,3
"LUC7L2",3,3
"RBMX2",3,3
"UTP11",3,2
"MOB4",2,1
"RRP7A",3,3
"EXOSC1",3,2
"SF3B6",3,3
"MRPL11",3,3
"REXO2",3,3
"RRP15",3,3
"NOP16",3,3
"PPIL1",3,3
"MED31",3,3
"CIAO2B",2,0
"PAM16",3,3
"MRPS23",3,3
"PTRH2",3,3
"STRAP",3,3
"RTCB",3,3
"R3HCC1",2,3
"NOC2L",3,3
"RPL36",3,3
"CCDC9",3,3
"CHTOP",3,3
"FAM32A",3,3
"KNSTRN",3,3
"HBS1L",3,3
"MTF2",3,3
"TLN1",3,3
"JRKL",3,3
"TRRAP",3,3
"RBM19",3,3
"HECTD4",3,2
"ZNF451",3,3
"MARF1",3,3
"RIPOR2",3,3
"MYO5A",3,3
"MAP4K5",3,2
"HYOU1",3,3
"ATG4B",3,3
"TBL2",3,3
"TELO2",2,2
"LAS1L",3,3
"AFG3L2",3,3
"LSM5",3,3
"LSM4",3,3
"SAMM50",3,2
"PRRC2C",3,3
"POLR3H",3,3
"PPME1",3,3
"ASB3",3,3
"RBM7",3,3
"AP4S1",3,3
"NUB1",3,3
"YTHDF2",3,3
"PAXBP1",3,3
"SUPT16H",3,3
"UTP18",3,3
"TIMM8B",3,3
"UCHL5",3,3
"CD2AP",3,3
"TIMM13",3,3
"SRPRB",3,3
"GTF3C5",3,3
"GTF3C3",3,3
"RBM8A",3,3
"USP16",3,3
"TSSC4",3,3
"MAGED1",3,3
"SNX8",3,3
"SNX5",3,3
"HCFC2",3,1
"PUS1",3,3
"LRRFIP2",3,3
"FHOD1",3,3
"PSAT1",2,3
"NCOR2",3,3
"MRPS18B",3,3
"COPG1",3,3
"AUP1",3,3
"NFS1",3,3
"CFAP20",3,3
"TACC3",3,2
"EMILIN1",3,3
"MTCH2",3,3
"MAD1L1",3,3
"STK24",1,2
"BZW2",3,3
"DYNC1LI1",3,3
"EPN1",2,2
"CABIN1",3,3
"TAF6L",3,3
"OAS3",3,3
"IKBKG",3,3
"IGF2BP2",3,3
"CSNK1G3",3,3
"NDUFB9",3,3
"MAP3K4",3,3
"CCDC61",3,2
"DDX49",3,3
"CAPN7",3,3
"WASF2",3,3
