"logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein"
0.581988047212157,19.3843168145198,10.8858770778183,3.0529741066845e-05,0.00719357023887535,3.21751411657807,"EIF4A3"
0.789165173130662,17.718020710947,10.7015320153118,3.37489405902687e-05,0.00727098230444052,3.1215609196171,"AAK1"
-1.37814761606526,19.8719787674463,-10.81643269213,3.49757528671107e-05,0.00727098230444052,3.09609061276587,"EEF1E1"
-0.564457461280206,19.4940493306441,-10.5239559797678,3.72262698153951e-05,0.00727098230444052,3.02720522523324,"IGF2BP2"
-0.639224094415759,18.4979161038838,-10.4509406005539,3.87749347737845e-05,0.00727098230444052,2.98784777301677,"ZFR"
-1.00592208925351,17.1202106055509,-10.1816145409911,4.51678152048362e-05,0.00727098230444052,2.83977282909173,"CIRBP"
-3.10479955591577,17.5061542217291,-10.3303989202117,4.56167024798421e-05,0.00727098230444052,2.84028499466728,"DBT"
-0.725668589072946,17.0778164317702,-10.1597220234393,4.57389272513266e-05,0.00727098230444052,2.82753203870087,"YTHDC2"
0.997527239382507,17.5900550341682,10.088205491325,4.76635349701091e-05,0.00727098230444052,2.78732678057867,"EPS15L1"
-1.16561765515008,18.7859490323184,-10.2221135075339,4.84724706747267e-05,0.00727098230444052,2.78130955852115,"MARS1"
1.00014562380725,16.5077069757693,9.99570364255896,5.0293204848787e-05,0.00727098230444052,2.73482375048371,"CLINT1"
-0.621223039023562,22.677327402519,-9.93619846883085,5.20733480689374e-05,0.00727098230444052,2.70074756002394,"PC"
-0.510812813173942,20.2057267586658,-9.63237803437578,6.23780277989481e-05,0.00749035819636008,2.52299071432349,"SSB"
-1.40786614824085,19.5752008048357,-9.7675191293769,6.29549632322466e-05,0.00749035819636008,2.52539871103357,"EPRS1"
0.592319536472271,18.4082834401477,9.61662019220274,6.29736330716827e-05,0.00749035819636008,2.5135957250285,"UBN1"
-0.577373844759258,20.7907604686516,-9.58191177528628,6.4308809637873e-05,0.00749035819636008,2.49284000490493,"DDX28"
0.542003439400698,19.9957130181352,9.56966590272402,6.47876605907547e-05,0.00749035819636008,2.48549645558024,"PNN"
0.520316343974457,19.1490544454172,9.53712219350338,6.60803378902859e-05,0.00749035819636008,2.4659286368725,"RIOK1"
-0.546726251359949,18.5081665459657,-9.4826210834359,6.83124164515307e-05,0.00749035819636008,2.43298766733763,"LSM14A"
0.603373134702746,18.0246943225674,9.45353553311706,6.95391344489663e-05,0.00749035819636008,2.41532009943286,"EIF3A"
-0.869666279049106,21.6107566086465,-9.36474413986638,7.37231824602188e-05,0.00761212945574429,2.35776079652707,"HNRNPD"
-0.89343630467312,20.0207031646332,-9.36404340269214,7.66378222502906e-05,0.00761212945574429,2.32455880658341,"ALYREF"
-0.870615306188373,20.1038090301091,-9.34595016265431,7.67270343019318e-05,0.00761212945574429,2.321994217997,"MRPL11"
-0.611773564977778,17.4093055289466,-9.13329538608208,8.48705032844867e-05,0.00815639895061286,2.21665707589805,"YTHDF1"
3.57621033996464,14.255204121883,9.15232763824422,8.65400419163168e-05,0.00815639895061286,2.20184318268463,"USP13"
-0.568142716564708,17.5214563221347,-8.97977142980635,9.3581661211594e-05,0.00860494787238315,2.11865277675918,"CAVIN2"
-0.8953588511181,18.0062603580137,-8.92712034997104,9.76164717877828e-05,0.00876224044380812,2.07751319750582,"PDIA5"
0.863157955089363,17.6247763418676,8.87063723347552,0.000100402376571203,0.00880271999240548,2.04786073364951,"CDC42BPA"
0.595087912484527,19.8839098304758,8.79062339835888,0.000105767958376319,0.00906239097906189,1.99535317345354,"RBM8A"
-0.607156274143978,17.1985272751042,-8.74709807614583,0.000108825048650895,0.00911712074253055,1.96657278633377,"RBM26"
0.536324503960614,18.5322269550916,8.69270997080347,0.000112789216457311,0.00912688193031352,1.93039181405896,"EIF3M"
-1.22474999158794,20.9761809975777,-8.80425892512083,0.000113783408680301,0.00912688193031352,1.93491706656447,"HNRNPUL1"
0.62671865022655,19.2393234474486,8.58285125897666,0.00012131472453199,0.00925802933925637,1.85656338942183,"AP2S1"
1.1780231198202,15.1695743450122,8.54829618661453,0.000124148088356662,0.00925802933925637,1.83313261816869,"PDPR"
0.593418079014512,18.0695941116028,8.51261484764649,0.000127154052939731,0.00925802933925637,1.80883229280279,"NOP2"
-0.566254353456554,18.9226686345723,-8.50875272253664,0.000127484413109099,0.00925802933925637,1.80619556317449,"SCAF4"
0.551465653785908,19.1353286106056,8.5062740382677,0.000127696956403536,0.00925802933925637,1.80450266072557,"AP2A2"
-0.609073882781313,18.8652588330677,-8.4264875565428,0.000134761449435546,0.00958586159192469,1.74972933269729,"CMSS1"
-0.87526693527596,17.9979719326837,-8.42495371683684,0.000138885061377503,0.00960360604269603,1.72417601187226,"KRR1"
-0.562420151461613,20.5458229157344,-8.3692632025252,0.00014010565844782,0.00960360604269603,1.71010729813864,"SYNCRIP"
