"Protein","rPAL_detected","Sial_rPAL_detected","MAR_values_imputed","MNAR_values_imputed"
"ECI2",3,2,1,0
"TADA3",3,3,0,0
"TAF5L",3,3,0,0
"EED",3,3,0,0
"BANF1",3,2,1,0
"SF3B1",3,3,0,0
"CSDE1",3,3,0,0
"SKAP2",3,3,0,0
"PRKRA",3,3,0,0
"MED6",3,3,0,0
"MYCBP2",3,3,0,0
"NPM3",3,3,0,0
"LYPLA1",3,3,0,0
"ERAL1",3,3,0,0
"SERPINB7",3,3,0,0
"SNRNP200",3,3,0,0
"TRMU",3,3,0,0
"TIPRL",3,3,0,0
"RPS6KA4",3,3,0,0
"SURF6",3,3,0,0
"UTP20",3,3,0,0
"NUP155",3,3,0,0
"WDHD1",3,3,0,0
"SLC25A12",3,3,0,0
"GRAP2",3,3,0,0
"RNASEH2A",3,3,0,0
"CDC123",3,3,0,0
"POP7",3,3,0,0
"RPP40",3,3,0,0
"EIF3G",3,3,0,0
"EIF3J",3,3,0,0
"IDH1",3,3,0,0
"CCNK",3,3,0,0
"ARL6IP5",3,3,0,0
"DYSF",3,3,0,0
"PIAS1",3,3,0,0
"BCAS2",3,3,0,0
"DNAJC8",3,3,0,0
"SMNDC1",3,3,0,0
"ATP5PD",3,3,0,0
"TRIO",3,3,0,0
"ATP5MG",3,3,0,0
"SASH3",3,3,0,0
"GLRX3",3,3,0,0
"RSL1D1",3,3,0,0
"CLPX",3,3,0,0
"CIAO1",3,2,1,0
"RGS20",3,3,0,0
"SRP72",3,3,0,0
"RECQL4",3,3,0,0
"RECQL5",3,3,0,0
"URI1",3,3,0,0
"MTA2",3,3,0,0
"STK10",3,3,0,0
"TOMM70",3,3,0,0
"TOX4",3,3,0,0
"SUPT7L",3,3,0,0
"FCHSD2",1,3,0,2
"UFL1",3,3,0,0
"FARP2",3,3,0,0
"UBXN7",3,1,0,2
"TOX",3,3,0,0
"PLPBP",3,3,0,0
"ERLIN2",3,3,0,0
"PRPF6",3,3,0,0
"PCF11",3,3,0,0
"FRYL",3,3,0,0
"GLS",3,2,1,0
"HAUS5",3,3,0,0
"KDM4B",3,3,0,0
"AP2A2",3,3,0,0
"SEC31A",3,3,0,0
"SLITRK5",2,2,2,0
"HEXIM1",3,3,0,0
"RPP14",3,3,0,0
"UBR5",3,3,0,0
"SCAF4",3,3,0,0
"SNUPN",3,3,0,0
"ELP1",3,3,0,0
"NDUFB4",3,3,0,0
"LETM1",3,3,0,0
"STBD1",3,2,1,0
"LUC7L3",3,3,0,0
"KIF4A",3,3,0,0
"MBD4",1,2,1,2
"SBF1",3,3,0,0
"GOSR1",3,3,0,0
"KAT7",3,3,0,0
"ATE1",3,3,0,0
"EPM2A",3,3,0,0
"VAPB",3,1,0,2
"SNAPIN",3,3,0,0
"NDUFA10",3,3,0,0
"CELF2",3,3,0,0
"PGLS",3,3,0,0
"SMC2",3,3,0,0
"FARS2",3,3,0,0
"ZBTB7A",3,3,0,0
"IPO7",3,3,0,0
"SLU7",3,3,0,0
"CD2BP2",3,3,0,0
"MED26",3,3,0,0
"BAG4",3,3,0,0
"AHSA1",3,3,0,0
"PARN",3,3,0,0
"FMNL1",3,3,0,0
"SGPL1",3,3,0,0
"NSA2",3,3,0,0
"SEC24B",3,3,0,0
"METTL18",3,3,0,0
"ETHE1",3,2,1,0
"ACSL3",3,3,0,0
"POLR1A",3,3,0,0
"PCNT",3,3,0,0
"YEATS4",3,3,0,0
"ZBTB11",3,3,0,0
"CPSF4",3,3,0,0
"ASMTL",3,3,0,0
"CDS2",2,2,2,0
"POP4",3,3,0,0
"HERC2",3,3,0,0
"SNAP29",3,1,0,2
"OXSR1",3,3,0,0
"HSPA4L",3,3,0,0
"PTBP3",3,3,0,0
"LSM8",3,3,0,0
"AP2A1",3,3,0,0
"WIZ",3,3,0,0
"STAU1",3,3,0,0
"TTC4",3,3,0,0
"CAVIN2",3,3,0,0
"BAG2",3,3,0,0
"MAP4K4",3,3,0,0
"AIFM1",3,3,0,0
"LATS1",2,3,1,0
"FADS2",3,3,0,0
"GPANK1",3,3,0,0
"SYF2",3,3,0,0
"MBD3",3,3,0,0
"TOP3B",3,3,0,0
"NDUFB10",2,3,1,0
"CLPTM1",3,3,0,0
"TOMM40",3,3,0,0
"PEX11B",3,3,0,0
"ACTL6A",3,3,0,0
"NSD2",3,3,0,0
"LDHA",3,3,0,0
"GLUD1",3,3,0,0
"DHFR",3,3,0,0
"CYB5R3",3,3,0,0
"GSR",3,3,0,0
"MT-CO2",3,3,0,0
"SOD1",3,3,0,0
"PNP",3,3,0,0
"HPRT1",3,3,0,0
"GOT2",3,3,0,0
"PGK1",3,3,0,0
"ADA",3,3,0,0
"SERPINC1",2,1,1,2
"A2M",3,3,0,0
"CSTA",3,3,0,0
"JCHAIN",2,2,2,0
"IGKC",3,3,0,0
"IGHG1",1,3,0,2
"IGHA1",3,3,0,0
"HLA-B",3,3,0,0
"HLA-H",3,3,0,0
"HBD",2,3,1,0
"COL1A1",2,3,1,0
"LMNA",3,3,0,0
"ALB",3,3,0,0
"AFP",2,2,2,0
"TFRC",3,3,0,0
"LTF",3,3,0,0
"FTL",1,3,0,2
"VTN",3,3,0,0
"CAT",3,3,0,0
"RAF1",3,3,0,0
"ALDOA",3,3,0,0
"CSTB",3,3,0,0
"ANXA1",3,3,0,0
"OAT",3,3,0,0
"TUBB4A",3,1,0,2
"GAPDH",3,3,0,0
"HLA-A",3,3,0,0
"CAPNS1",3,3,0,0
"HSPB1",3,3,0,0
"TYMS",3,3,0,0
"RPN1",3,3,0,0
"RPN2",3,3,0,0
"GNAI2",3,3,0,0
"ATP1A1",3,3,0,0
"ARG1",3,3,0,0
"ITGB2",3,3,0,0
"S100A8",3,3,0,0
"HMGN1",3,3,0,0
"SLC25A5",3,3,0,0
"ISG15",3,3,0,0
"PCCA",3,3,0,0
"PCCB",3,3,0,0
"EIF2S1",3,3,0,0
"HMGN2",3,3,0,0
"RPLP1",3,3,0,0
"RPLP2",3,3,0,0
"RPLP0",3,3,0,0
"POLR3D",3,3,0,0
"SSB",3,3,0,0
"ITGB1",2,3,1,0
"UROD",2,2,2,0
"GSN",3,3,0,0
"RB1",3,3,0,0
"PTMA",3,3,0,0
"CDK1",3,3,0,0
"ATP5F1B",3,3,0,0
"S100A9",3,3,0,0
"EIF4E",3,3,0,0
